ADM3_Name,ACS_Code,T1 Displacement Ratio,T2 composite_score,T3 composite_score,T5 Demographic Shock Factor,T6 composite_score
Aamaret Chalhoub,22343,,0.2850687523799594,,0.0058965555847023,0.4562848341281207
Aamaret El-Baykat,35449,,0.3312314734777542,,,0.4966574184734291
Aamayer,35512,,0.3312314734777542,,,0.6666027613414193
Aamchit,26141,,0.0684074985562782,,,0.3978582704289219
Aamchki,53131,,0.4680736887245614,,0.0,0.2642045187727931
Aammatour,23639,,0.1766552783969553,,0.0057689049512716,0.3737146829567503
Aammiq BG,52176,,0.2836728024244707,,,0.4451255318636503
Aammiq Ech-Chouf,23427,,0.283484214307092,,0.0,0.4246987095930433
Aamra,73191,,0.400957397026142,,0.0,0.3193788376601634
Aamriyet Aakkar,35421,,0.3312314734777542,,0.0,0.5052097702187992
Aana,52161,,0.2606661623658876,,,0.4429363922930145
Aandqet,35498,,0.3312314734777542,,,0.5342282652120627
Aanjar (Haouch Moussa),51281,,0.2838613905418493,,0.0054457380622506,0.4732300744524534
Aanout,23239,,0.2412152636234502,,0.0091422315369347,0.3060310833706402
Aanqoun,61489,,0.3731175162027821,,,0.1375053578377758
Aaouaainat Aakkar,35420,,0.3312314734777542,,,0.5760960101537211
Aaouainat,35420,0.1540913921360255,,0.5590704229820379,,
Aaqabet Rachaya,55114,,0.1640474326233566,,,0.3546547001578538
Aaqaibeh Kesrouane,25171,,0.2369998485328059,,,0.3725961359032693
Aaqoura,26371,,0.2063310536492086,,,0.2958155709919698
Aaqtanit,61477,,0.488756370666737,,,0.1161224548726655
Aarab Ej-Jall,61487,,0.503628631118745,,0.1292363565102468,0.143154506323736
Aarab El-Lahib,26374,,0.0601253386697336,,0.0,0.3334448744175962
Aarab Salim,71256,,0.3152980923706067,,0.0,0.2275380715467549
Aarab Tabbaya,61483,,0.503628631118745,,0.0289637526165853,0.1282350302188039
Aaraiya,21371,,0.3629179592100601,,,0.3694784451565874
Aaramoun Aaley,24211,,0.283484214307092,,,0.3255726903238893
Aaramoun Kesrouane,25327,,0.2369998485328059,,,0.3180493013786324
Aaramta,63311,,0.1120952931704605,,,0.3069081901662657
Aarasta,26392,,0.0684074985562782,,0.0,0.367551119545928
Aaray,63131,,0.1766552783969553,,0.014860794294078,0.3523546228557671
Aarbaniyeh,21381,,0.3815003586158468,,,0.36936820124925
Aarbet Qozhaiya,33227,,0.074037090576169,,,0.2658347245254385
Aardat,33113,,0.393959719358087,,0.0149650733912932,0.312213793825811
Aarjis,33161,,0.145922435877013,,,0.2987358309871754
Aarme,35484,,,,0.5368095232761653,
Aarmeh,35484,,0.3312314734777542,,,0.5126130871368407
Aarqa,35141,,0.3312314734777542,,,0.5867052916830919
Aarsal,53231,,0.4680736887245614,,,0.3327202116745126
Aartiz,34251,,0.0518431787831889,,0.0,0.3140840648415248
Aasaymout,37362,,0.260725139453104,,0.0,0.3685189789639564
Aassaymout,37362,0.0,,0.2825017025281889,,
Aassoun,37313,,0.1902188054284537,,0.025644499357975,0.2946185172981047
Aatchane,22555,,,,0.0800702544714213,
Aatchaneh,22555,,0.2850687523799594,,,0.3911239365818872
Aathrine,23544,,0.2412152636234502,,0.0046871596725596,0.3795404565000447
Aaychiyeh,63355,,0.3332867456568473,,,0.2715639010845848
Aayha,55117,,0.1640474326233566,,,0.3655395623456492
Aaymar,37367,,0.1902188054284537,,0.0,0.3017596224281924
Aaynab,24351,,0.3257531649907338,,,0.3279874424878589
Aaynata Baalbek,53377,,0.1740228675052459,,,0.2552168836308665
Aaynata Bent Jbayl,72119,,0.4113788943399817,,,0.1343306487148825
Aayoun Aakkar,35177,,0.3312314734777542,,,0.5041274916555388
Aayoun El-Ghizlane,35347,,0.3312314734777542,,,0.493539420882684
Aayoun El-Matn,22635,,0.3815003586158468,,0.0160676856219599,0.3807392920951387
Aayroun,22767,,0.2850687523799594,,0.0070242665154469,0.3852301680591041
Aayta Ech-Chaab,72183,,0.4113788943399817,,,0.0961674251014134
Aayta El-Foukhar,55194,,0.2220822468658408,,,0.3976820896092333
Aaytanit,52121,,0.2606661623658876,,,0.3377609920825641
Aaytat,24329,,0.401842564921234,,,0.3294934031308134
Aaytit,62217,,0.4741524288526054,,,0.0907721757020246
Aaziye,62294,,,,0.0,
Aaziyeh,62294,,0.4741524288526054,,,0.0995409890702854
Aazouniyeh,24454,,0.401842564921234,,,0.3965727252863597
Aazour,63184,,0.1120952931704605,,,0.2933407146504982
Aazqai,37361,,0.2224575694167858,,0.0012950533490397,0.3374252070016951
Aazra ouel Aazr,25361,,0.2369998485328059,,0.0202526525996069,0.321704294864811
Aazzi,71271,,0.503628631118745,,0.0449791130189816,0.1279785898842507
Aba,32143,0.0,,0.6087014826731262,,
Abba,71351,0.0,,0.1765348369992695,,
Abbassyat,62276,0.1663449163449163,,0.5539374221993758,,
Abdilli,34217,0.0,,0.2963522239658278,,
Abdine,36121,0.0,,0.2720084337624113,,
Abey,24375,0.0371440363186132,,0.295239932104375,,
Ablah,51163,0.2248662608374838,0.2876057199753736,0.4451468454098633,,0.3308494295479342
Abou Chech,62319,0.0,0.4741524288526054,0.5619859093091378,0.0,0.1053109275692685
Abou Kamha,74112,0.4848484848484848,,0.2677672941987923,,
Abou Mizane,22575,,0.2850687523799594,,0.0,0.3521790662782543
Abou Qamha,74112,,0.2474365959090499,,,0.2701609139310358
Abou-Mizane,22575,0.0,,0.3003084128951462,,
Abra,61244,0.3632988078952511,,0.3911967823073327,,
Abrine,34269,0.0,,0.2933848966449298,,
Acheiche,33267,0.0524160524160524,,0.3857225228079983,,
Achkoute,25423,0.0638868205510052,,0.5098103111736642,,
Achrafieh,10650,0.0024156085475379,0.372757252648091,0.293029115566013,,0.3067549422737021
Adchite,71347,0.0,,0.176551547207553,,
Adchite El-Koussair,73256,0.0,,0.4196559860517836,,
Addous,53127,0.0,,0.5732990343826486,,
Addoussiat,61466,0.1620526671168129,,0.4133535595707698,,
Adeicé,73211,0.0,,0.4175330298494376,,
Adloun,61434,0.0411280846063454,,0.4202681014817823,,
Adma Oua Dafine,25156,,0.2369998485328059,,,0.372614192891961
Adonis Jbayl,26239,,0.1527036735445421,,,0.3221097979210509
Adonis et Sannour,26239,0.0269396551724137,,0.3998351778891313,,
Afka,26364,14.235294117647058,,0.4301820040894196,,
Afqa Jbayl,26364,,0.1527036735445421,,,0.3395398814330085
Afsdik,32127,0.0607814761215629,,0.6077792454629716,,
Aghmide,24451,0.0507374631268436,,0.2964239215670368,,
Ain Aakrine,32135,,0.0828231275388184,,0.0,0.2876170771943914
Ain Aarab,73162,0.0,,0.4218291264229771,,
Ain el-Mreisseh,10110,,0.3552710367125234,,,0.1969533404953027
Ain el-Mreissé,10110,0.6938461538461539,,0.3424709086183912,,
Aintoura El-Matn,22751,,0.3815003586158468,,0.0562542875417072,0.3156689479321564
Aintoura Kesrouane,25271,,0.2369998485328059,,,0.3805177453896098
Aintourine,33219,,0.145922435877013,,,0.2759620696795538
Ajeltoun,25211,0.0574963609898107,,0.4969620266254397,,
Akabé,55114,0.281148429035753,,0.3426709189134422,,
Akkar El-Atika,35191,0.0446437370651424,,0.5650191063662611,,
Akmata,63323,0.0,,0.2036186370980948,,
Akoura,26371,0.0,,0.4063152472591903,,
Akroum,35516,0.019927536231884,,0.5637984456639097,,
Aktanite,61477,0.5923000987166831,,0.4109133369377659,,
Al Kattara,26251,0.0,,0.405167796964809,,
Al Moghrak,35251,0.0,,0.5609152332087614,,
Al-Abboudié,35249,0.0018932222642938,,0.5754352861689498,,
Al-Ali-Nahri,51323,0.1241875580315691,,0.4592965206255721,,
Al-Amara,35265,0.004594180704441,,0.5692927259399541,,
Al-Aïne,53217,0.1623448445372987,,0.5665849581769082,,
Al-Beddaoui,37231,0.0076684200519678,,0.2590944035326879,,
Al-Boukaia,32193,0.0,,0.6050415803164048,,
Al-Boukaïa et Dahr Abi Yaghi,34211,0.0,,0.2970317693629083,,
Al-Dellafé,74179,0.0,,0.2683329458005237,,
Al-Djeziré,52257,0.0,,0.4519188529354077,,
Al-Fakiat,53214,0.0807921683357713,,0.5634983093276736,,
Al-Harik,33131,0.0,,0.3863857612807715,,
Al-Hery,34177,0.0,,0.285231965236889,,
Al-Hissa,35221,0.0,,0.5688620622717361,,
Al-Hraïché,32183,0.0,,0.6056326262301515,,
Al-Istable,52295,0.0,,0.4460409833407165,,
Al-Jdeidé,33137,0.0,,0.3838653536508437,,
Al-Jédidé,35125,0.0,,0.5551159549344894,,
Al-Kalmoune,31221,0.0625207848353841,,0.4402288177200152,,
Al-Khaldyé,33139,0.0,,0.3878181035549187,,
Al-Kharayeb,54175,0.0,,0.559118531619082,,
Al-Kharnoubé,35257,0.0,,0.5577066579243465,,
Al-Khiara,52234,0.0759651307596513,,0.4401739582723285,,
Al-Khodré,53443,0.0595885552139985,,0.5578461079540666,,
Al-Khraibé,35216,0.049611476389719,,0.5585414654767754,,
Al-Kleiat,35243,0.0246119733924611,,0.5729526851239326,,
Al-Kneissé,35245,0.0,,0.5678996152470527,,
Al-Labouat,53234,0.0308056872037914,,0.5655169135866643,,
Al-Marje,52277,0.0,,0.4256670039118432,,
Al-Massoudié,35229,0.0,,0.5653074624777203,,
Al-Mazraa,51271,0.0,,0.4531160298807747,,
Al-Mehamra,35277,0.0165413096294572,,0.5460522499208312,,
Al-Mina Jardins,31186,0.0,,0.4213132493646446,,
Al-Mina No1,31171,0.0912078882497945,,0.3998669789028864,,
Al-Mina No2,31176,0.0,,0.4131935053069919,,
Al-Mina No3,31181,0.0,,0.4350792422963891,,
Al-Minieh,37271,0.056508894336539,,0.2754924058898007,,
Al-Moukaiteh,35261,0.0246843791219144,,0.5654488868938663,,
Al-Mouzeihmé,35461,0.0,,0.5740502313508777,,
Al-Nabi Aïla,51151,0.0,,0.4541834340142711,,
Al-Nabi Chite,53445,0.0244676030811055,,0.5644021947621829,,
Al-Nabi Osman,53224,0.1160220994475138,,0.5695845631778205,,
Al-Nasriyé,51287,0.0,,0.456780889089753,,
Al-Qa Bayoun,53257,0.0,,0.5588887707130205,,
Al-Qa El-Benjakie,53241,0.004855287218614,,0.5612200641153072,,
Al-Qa Jouar Mekie,53267,0.0,,0.5589466392973054,,
Al-Qa Wadi El-Khanzir,53254,0.0,,0.5594394918755816,,
Al-Rihanié,35467,0.0,,0.5616092091438377,,
Al-Rihanié,37281,0.0,,0.307291693374447,,
Al-Roumoul,35281,0.0,,0.5582374580333035,,
Al-Sammounié,35227,0.0,,0.561330500455447,,
Al-Sawiré,52264,0.0080329153605015,,0.4460633690862576,,
Al-Saïdat,53167,0.1857244318181818,,0.5609787231288078,,
Al-Semmakié,35271,0.0,,0.5644815229762016,,
Al-Semmakli,35259,0.0,,0.5578935225701136,,
Al-Sfiré,37337,0.4753424657534246,,0.2907547801883247,,
Al-Souaissé,35143,0.0100697134004647,,0.5725463554784215,,
Al-Taybat,53139,0.0,,0.5639091013804494,,
Al-Taïbé,73232,0.0,,0.417972707461364,,
Al-Wakf,52261,0.0,,0.4388143658340582,,
Al-Zoureiribe,35127,0.0829428303655107,,0.555013920791531,,
Aley,24311,0.4239782192979613,,0.2844413471443186,,
Ali El-Taher,71115,0.0,,0.1751214738042018,,
Alita,26219,0.0,,0.4066616523792629,,
Alma,33133,0.4653891278842393,,0.3997545281993969,,
Alma Chaab,62316,0.0,,0.5606003644822688,,
Almane,23311,0.3916139240506329,,0.4723031508714277,,
Almane,73293,0.0,,0.4333229279141906,,
Almate El-Chemaliat,26212,1.8726042841037205,,0.4055730876169027,,
Almate El-Jenoubiat,26214,0.0,,0.4076895641578115,,
Amchite,26141,0.0348401425068245,,0.391275462416733,,
Amioun,32111,,0.0828231275388184,,0.0069430271159312,0.3045855995048637
Amioune,32111,0.0429447852760736,,0.6034743010450326,,
Ammatour,23639,0.021320213202132,,0.4774965867232734,,
Ammik,23427,0.0,,0.4768019490551206,,
"Ammik et ""Jouret Ammik""",52176,0.0,,0.4411268460982517,,
Ana,52161,0.0,,0.4409626395717161,,
Anane,63274,0.5026455026455027,0.1766552783969553,0.2054644831231609,,0.2683883518003688
Anbal,23533,0.15,,0.4772644899462628,,
Andeket,35498,0.0120126926563916,,0.5590951770264675,,
Anjar,51281,0.0417412045319022,,0.4501961600888706,,
Ankoune,61489,0.5766135395297459,,0.4149758204779243,,
Anoute,23239,0.2703188879803761,,0.4734302691771047,,
Ansar,71361,0.0016210082671421,0.503628631118745,0.1761069538310377,,0.0755115223755459
Ansariyé,61436,0.0229726625315874,,0.4166843443357316,,
Antelias,22311,,0.2850687523799594,,0.0295195214702632,0.442220493356466
Antoura,22751,0.097910447761194,,0.3021556044272364,,
Antélias,22311,0.014590651175358,,0.2271118424332615,,
Arab El-Haibe,26374,0.0,,0.4057106387664327,,
Arab Salim,71256,0.0,,0.1724235443510105,,
Arab Soukar,61486,0.0,,0.4199722187593007,,
Arab Tabbaya,61483,0.3301104972375691,,0.4278808646831666,,
Arab-el-Jal,61487,0.0,,0.4185416956302018,,
Aramoun,24211,0.2010686434966785,,0.2898225936230429,,
Aramoun,25327,0.0,,0.5083445198940502,,
Aramté,63311,0.0,,0.2031432130568647,,
Araya,21371,0.0882223202470224,,0.2755382339553514,,
Arbet Koshaya,33227,0.0,,0.3889167263977512,,
Ardate,33113,0.0,,0.382685716283364,,
Arde,33123,,0.145922435877013,,,0.3048676144787392
Ardé,33123,0.0326687887418328,,0.3842390245899861,,
Argesse,33161,0.0,,0.3887414376449431,,
Arida,35273,0.0,,0.5795116102338811,,
Ariya,63131,0.0851063829787234,,0.2033398568284908,,
Arka,35141,0.0045595476928688,,0.5593321498990647,,
Arkoub (Mazraat),63367,0.0,,0.2037598203179553,,
Arké,61479,0.0,,0.4168589153859423,,
Arnoun,71377,,0.3950247931567052,,0.0,0.2256009862862735
Arnoune,71377,0.0,,0.177809541430238,,
Arsale,53231,0.0,,0.5679506217382518,,
Arsoun,21471,,0.4779319648517342,,,0.3321077535939942
Arsoune,21471,0.029520295202952,,0.2849728917901088,,
Artiz,34251,0.0,,0.2961577524653164,,
Arzai,61417,,0.4814543997596712,,,0.0845758251650915
Arzey,61417,0.0771538791255893,,0.4169104095092912,,
Arzoun,62256,,0.4741524288526054,,,0.1008903371045491
Arzoune,62256,0.0,,0.5605459832864592,,
Asnoun,33125,,0.145922435877013,,,0.3466000496471641
Asnoune,33125,0.0,,0.3869840001139558,,
Assia,34263,0.0,0.0518431787831889,0.2972306197650554,0.008122377390839,0.3145631041776751
Assoun,37313,0.241265926839293,,0.2873310720758288,,
Atrine,23544,0.0441717791411042,,0.4773893078776212,,
Ayto,33243,,0.145922435877013,,,0.2732040168513862
Azka,37361,0.1731418918918918,,0.2971997976026767,,
Azour,63184,0.8391608391608392,,0.203103296466681,,
Aïchiyé,63355,0.0,,0.2039423181833723,,
Aïha,55117,0.0022381378692927,,0.3406473068970016,,
Aïn -El-Zeitouné,22714,0.0,,0.2913304157823129,,
Aïn Aar,22471,0.0,,0.2561913694433895,,
Aïn Aata,55171,0.0339091490722968,,0.3406694181870081,,
Aïn Abou Abdallah,62291,0.0,,0.5608529412956992,,
Aïn Akrine,32135,0.0,,0.6082505557661416,,
Aïn Arab,55167,0.106060606060606,,0.3413576759924075,,
Aïn Baal,62243,0.0,,0.5558859487422387,,
Aïn Bourday,53115,0.0,,0.564258559944349,,
Aïn Drafile,24219,0.0,,0.295466830164634,,
Aïn El-Beniyé,53465,0.0,,0.5592176622630368,,
Aïn El-Delbé,25463,0.2214022140221402,,0.5183763906375574,,
Aïn El-Halzoune,24431,0.0,,0.2971573888568531,,
Aïn El-Jaouzé,53473,0.0,,0.57852596575231,,
Aïn El-Kabou,22777,0.0,,0.3025265527911357,,
Aïn El-Rihané,25251,0.0109546165884194,,0.5108779017431001,,
Aïn El-Zeit,35427,0.0253505933117583,,0.5662788137368107,,
Aïn Horché,55147,0.0,,0.3398976374731143,,
Aïn Jarfa,74114,0.0752212389380531,,0.2725539268475763,,
Aïn Kfah,26289,0.0,,0.4062919290781759,,
Aïn Kfar Zabed,51377,0.0,,0.4572809712985938,,
Aïn Kinia,74126,0.0716594827586206,,0.2693995743113086,,
Aïn Ksour,24371,0.5522827687776142,,0.2955560155267002,,
Aïn Kéni,23619,0.1067892503536067,,0.4765919672623125,,
Aïn Mouaffak,21314,0.0,,0.2845168708069769,,
Aïn Ouzaï,23627,0.301081081081081,,0.476307554280465,,
Aïn Sofar,24427,0.2837209302325581,,0.2932353305151124,,
Aïn Séa et Chadourah,53163,0.0,,0.5589817405743945,,
Aïn Tanta,35435,0.0459183673469387,,0.5657547020816467,,
Aïn Traz,24361,0.0,,0.2972854690222127,,
Aïn Zhalta,23469,0.1280558789289872,,0.4780400454289791,,
Aïn el-Mir,63214,0.4203821656050955,,0.2011218861551102,,
Aïn-Alak,22551,0.0,,0.2770720277766238,,
Aïn-Boussouar,71216,0.0,,0.1764734239252138,,
Aïn-Dara,24477,0.1715450166728418,,0.2973118829876386,,
Aïn-Ebel,72143,0.0096113664855829,,0.4608984452313743,,
Aïn-El-Ghouaibé,26317,21.73913043478261,,0.4050833681176062,,
Aïn-El-Jdeidé,24325,0.8996212121212122,,0.2907033720002664,,
Aïn-El-Kach,22523,0.0,,0.293914810962372,,
Aïn-El-Kharroubé,22543,0.0,,0.2935630239336442,,
Aïn-El-Safsaf,22727,0.0924528301886792,,0.2945791429721673,,
Aïn-El-Sindiané,22737,0.0,,0.299553309735247,,
Aïn-El-Tiné,37333,0.0526870389884088,,0.2804225203461934,,
Aïn-Enoub,24259,0.054582904222451,,0.2937738495291271,,
Aïn-Jraïne,26227,0.1645569620253164,,0.404702119207611,,
Aïn-Kana,71226,0.0,,0.1782034453289056,,
Aïn-Rommané,24317,0.9726688102893892,,0.2928972598343511,,
Aïn-Saâdé,22423,0.0882512181916621,,0.2807564009938364,,
Aïn-Yacoub,35187,0.0043956043956043,,0.5610773446824576,,
Aïn-Zebdé,52146,0.0,,0.4386489255904466,,
Aïn-el-Assad et Chmeicé,23223,0.0,,0.4755630828000466,,
Aïn-el-Delbé,26221,0.073170731707317,,0.4035315422193788,,
Aïn-el-Dib,61277,0.1977938379612019,,0.4049576705797698,,
Aïn-el-Katmoune,72175,0.0,,0.4615945341939359,,
Aïn-el-Teffaha,22563,0.0,,0.2987446953880702,,
Aïn-el-Tiné,52116,0.0,,0.4412823704197057,,
Aïnab,24351,0.8793893129770992,,0.2939517848293542,,
Aïnata,53377,0.0,,0.5621383965463005,,
Aïnata,72119,0.0,,0.4602590381761758,,
Aïntoura,25271,0.0097560975609756,,0.4917172013416275,,
Aïntourine,33219,0.188235294117647,,0.3864986877351813,,
Aïroune,22767,0.0545905707196029,,0.2948423387755415,,
Aïta El-Fokhar,55194,0.00557880055788,,0.3398919162880864,,
Aïta-el-Chaab,72183,0.0,,0.4621490747786956,,
Aïta-el-Zut,72224,0.0,,0.4644941933609848,,
Aïtanit,52121,0.4221921515561569,,0.4403631501606144,,
Aïtaroun,72151,0.0,,0.4629585968929692,,
Aïtate,24329,0.4943693693693693,,0.2940841547295415,,
Aïtite,62217,0.0,,0.5587585497146689,,
Aïto,33243,0.0,,0.3885952433331052,,
Baabda,21211,0.020386631270846,0.3815003586158468,0.2284741228109786,,0.361234638201756
Baabdat,22659,,0.3815003586158468,,0.0249766683880451,0.3627604689366066
Baabdat et Sfaïlé,22659,0.0443451906205136,,0.2870751020311067,,
Baadarane,23631,0.0497114957833999,0.2412152636234502,0.4774224297861484,0.002926326893089,0.3914156001260708
